Year,Month,Population,Employment,Employment rate,Unemployment,Unemployment rate,Full time employment,Labour force,Part time employment,Participation rate,Job Vacancies,Job Vacancy rate,Payroll employees,Average offered hourly wage,GDP,Inflation
2017,1,29579.6,18133.3,61.3,1317.2,6.8,14571.9,19450.5,3561.4,65.8,387080,2.5,15234465,20.45,1867798,2.129338
2017,2,29605.3,18147,61.3,1291.6,6.6,14674.2,19438.6,3472.8,65.7,387080,2.5,15234465,20.45,1872099,2.045633
2017,3,29635.8,18163.4,61.3,1307.9,6.7,14672.7,19471.3,3490.7,65.7,387080,2.5,15234465,20.45,1878420,1.563722
2017,4,29667.1,18182.3,61.3,1265,6.5,14657.4,19447.3,3524.9,65.6,459685,2.9,15299365,19.5,1887380,1.636789
2017,5,29706.9,18235.2,61.4,1292.2,6.6,14734.5,19527.5,3500.8,65.7,459685,2.9,15299365,19.5,1894834,1.319876
2017,6,29740.8,18269.1,61.4,1262.1,6.5,14743.4,19531.3,3525.8,65.7,459685,2.9,15299365,19.5,1898387,1.006971
2017,7,29778.3,18290.6,61.4,1237.8,6.3,14796.1,19528.3,3494.5,65.6,467395,2.9,15668410,19.9,1901643,1.163693
2017,8,29824,18335.7,61.5,1204.9,6.2,14756.1,19540.6,3579.6,65.5,467395,2.9,15668410,19.9,1900327,1.398601
2017,9,29859,18332.8,61.4,1215.5,6.2,14825.5,19548.4,3507.3,65.5,467395,2.9,15668410,19.9,1903852,1.552795
2017,10,29892.9,18371.2,61.5,1231.8,6.3,14909.1,19603.1,3462.1,65.6,469360,2.9,15807115,20.1,1907305,1.394268
2017,11,29925.3,18439.3,61.6,1184.2,6,14938.8,19623.4,3500.5,65.6,469360,2.9,15807115,20.1,1916041,2.099533
2017,12,29956.7,18516.1,61.8,1156.9,5.9,14970.9,19673,3545.2,65.7,469360,2.9,15807115,20.1,1922738,1.869159
2018,1,30001.3,18435.9,61.5,1168.6,6,15016,19604.4,3419.9,65.3,461845,2.9,15517505,21.05,1922693,1.698842
2018,2,30032.2,18459,61.5,1163.2,5.9,14979.4,19622.2,3479.7,65.3,461845,2.9,15517505,21.05,1930440,2.158828
2018,3,30069.2,18515.4,61.6,1155.9,5.9,15057.8,19671.3,3457.5,65.4,461845,2.9,15517505,21.05,1936970,2.309469
2018,4,30117.6,18501.4,61.4,1170,5.9,15067.9,19671.4,3433.5,65.3,546820,3.4,15646855,20.65,1937928,2.223926
2018,5,30156.6,18492.4,61.3,1182.1,6,15046.6,19674.5,3445.8,65.2,546820,3.4,15646855,20.65,1948732,2.222222
2018,6,30197.4,18539.4,61.4,1203.1,6.1,15055.1,19742.5,3484.3,65.4,546820,3.4,15646855,20.65,1951138,2.453988
2018,7,30249.6,18605.7,61.5,1155.5,5.8,15052.3,19761.2,3553.5,65.3,550670,3.3,15952150,20.95,1957065,2.990798
2018,8,30289.2,18552.2,61.3,1178.6,6,15109.2,19730.7,3442.9,65.1,550670,3.3,15952150,20.95,1960285,2.835249
2018,9,30328.1,18619.2,61.4,1166.9,5.9,15084.7,19786.1,3534.6,65.2,550670,3.3,15952150,20.95,1962463,2.217125
2018,10,30366.6,18630.9,61.4,1158.2,5.9,15118.2,19789,3512.7,65.2,547330,3.3,16166125,21.15,1968287,2.444614
2018,11,30402.5,18741.1,61.6,1142.1,5.7,15207.3,19883.2,3533.8,65.4,547330,3.3,16166125,21.15,1964629,1.675552
2018,12,30437.2,18741,61.6,1146.2,5.8,15188.1,19887.2,3552.9,65.3,547330,3.3,16166125,21.15,1964458,1.987768
2019,1,30479.8,18822.2,61.8,1181.9,5.9,15214.7,20004.1,3607.5,65.6,506140,3.1,15937240,21.8,1965814,1.442673
2019,2,30507.8,18876.4,61.9,1187.1,5.9,15273.7,20063.5,3602.6,65.8,506140,3.1,15937240,21.8,1962068,1.509434
2019,3,30542.6,18861.7,61.8,1169.6,5.8,15278.1,20031.2,3583.6,65.6,506140,3.1,15937240,21.8,1974461,1.881114
2019,4,30589,18971.2,62,1158.2,5.8,15355.8,20129.4,3615.4,65.8,581595,3.5,16031330,21.3,1981670,2.025506
2019,5,30630.4,19004.3,62,1078.1,5.4,15394.7,20082.4,3609.7,65.6,581595,3.5,16031330,21.3,1987070,2.398801
2019,6,30674.7,18995.7,61.9,1108.3,5.5,15411.7,20104,3584,65.5,581595,3.5,16031330,21.3,1991233,2.020958
2019,7,30727.5,18965.9,61.7,1163.5,5.8,15395.9,20129.4,3570,65.5,562910,3.3,16336815,21.25,1991531,2.010424
2019,8,30763.6,19025.5,61.8,1176.4,5.8,15403.2,20201.9,3622.4,65.7,562910,3.3,16336815,21.25,1990828,1.937407
2019,9,30808.9,19073.1,61.9,1127.5,5.6,15477.2,20200.6,3595.9,65.6,562910,3.3,16336815,21.25,1993715,1.869858
2019,10,30842.3,19063.4,61.8,1152.3,5.7,15454.6,20215.8,3608.8,65.5,508590,3,16476500,21.75,1996798,1.86428
2019,11,30872.5,19000,61.5,1212.2,6,15412.8,20212.3,3587.3,65.5,508590,3,16476500,21.75,1996711,2.172285
2019,12,30897.9,19082.4,61.8,1166.2,5.8,15485,20248.6,3597.5,65.5,508590,3,16476500,21.75,2002297,2.248876
2020,1,30924.2,19116.5,61.8,1134.4,5.6,15517.1,20250.9,3599.4,65.5,512760,3.1,16158335,22.6,2004924,2.39521
2020,2,30949.3,19143.6,61.9,1157.6,5.7,15552.9,20301.3,3590.7,65.6,512760,3.1,16158335,22.6,2009783,2.156134
2020,3,30978.8,18131.4,58.5,1555.9,7.9,15075.1,19687.3,3056.3,63.6,512760,3.1,16158335,22.6,1861251,0.886263
2020,4,30994.3,16145.8,52.1,2422.9,13,13605.9,18568.7,2539.9,59.9,512760,3.1,16158335,22.6,1658387,-0.2205882
2020,5,31009.1,16467.2,53.1,2552.5,13.4,13880.9,19019.7,2586.3,61.3,512760,3.1,16158335,22.6,1733389,-0.3660322
2020,6,31037,17397.7,56.1,2412.5,12.2,14375.9,19810.3,3021.8,63.8,512760,3.1,16158335,22.6,1833539,0.6603081
2020,7,31061.6,17801.8,57.3,2172.8,10.9,14459.7,19974.6,3342.2,64.3,512760,3.1,16158335,22.6,1881318,0.1459854
2020,8,31084.7,17993.7,57.9,2058,10.3,14613.9,20051.6,3379.8,64.5,512760,3.1,16158335,22.6,1899027,0.1461988
2020,9,31114.6,18377.7,59.1,1871,9.2,14911.3,20248.7,3466.4,65.1,512760,3.1,16158335,22.6,1916771,0.51395
2020,10,31138.8,18467.7,59.3,1860.2,9.2,14965.4,20327.9,3502.3,65.3,560215,3.5,15359070,22.5,1928236,0.658858
2020,11,31161.3,18516.3,59.4,1770.6,8.7,15058.3,20286.9,3458,65.1,560215,3.5,15359070,22.5,1941301,0.9530792
2020,12,31177.5,18493.4,59.3,1805,8.9,15120.2,20298.5,3373.2,65.1,560215,3.5,15359070,22.5,1941070,0.7331378
2021,1,31191.2,18285.6,58.6,1888,9.4,15129.3,20173.6,3156.3,64.7,553480,3.6,15036085,23.6,1950866,1.023392
2021,2,31216.2,18558.1,59.5,1684.3,8.3,15224.8,20242.3,3333.3,64.8,553480,3.6,15036085,23.6,1954126,1.091703
2021,3,31234.5,18834.4,60.3,1522.2,7.5,15384.8,20356.7,3449.6,65.2,553480,3.6,15036085,23.6,1977375,2.196193
2021,4,31251.6,18635.6,59.6,1625.7,8,15265.5,20261.3,3370,64.8,731905,4.6,15310115,22.85,1955373,3.389831
2021,5,31265.9,18584.8,59.4,1610.2,8,15277.6,20195,3307.2,64.6,731905,4.6,15310115,22.85,1944114,3.600294
2021,6,31283.3,18799.4,60.1,1543.6,7.6,15235.9,20343.1,3563.5,65,731905,4.6,15310115,22.85,1961793,3.061224
2021,7,31315.3,18879.5,60.3,1516.5,7.4,15303.5,20396,3576.1,65.1,912580,5.4,15858865,22.55,1969678,3.717201
2021,8,31356.7,18947.3,60.4,1455.3,7.1,15345,20402.6,3602.3,65.1,912580,5.4,15858865,22.55,1982479,4.087591
2021,9,31391.3,19121.8,60.9,1438.9,7,15558.3,20560.7,3563.5,65.5,912580,5.4,15858865,22.55,1987953,4.382761
2021,10,31430,19141.8,60.9,1395.7,6.8,15591.1,20537.4,3550.7,65.3,915545,5.3,16309075,22.95,2003871,4.654545
2021,11,31466.5,19297.6,61.3,1262.2,6.1,15654.5,20559.8,3643.2,65.3,915545,5.3,16309075,22.95,2016153,4.720407
2021,12,31510.3,19376.2,61.5,1236.1,6,15797.3,20612.3,3578.9,65.4,915545,5.3,16309075,22.95,2016976,4.803493
